NameOfStation,Line,Year,IncomingPassengers,OutgoingPassengers,global_id
Сокольники,Большая кольцевая линия,2023,4911874,5133959,2581188751
Сокольники,Большая кольцевая линия,2024,5128983,5355264,2664615765
Сокольники,Сокольническая линия,2021,8662616,8792518,1139050923
Сокольники,Сокольническая линия,2022,9132288,9273835,2363487202
Сокольники,Сокольническая линия,2023,6303488,6361239,2581190542
Сокольники,Сокольническая линия,2024,4133919,4150443,2664648992
Солнцево,Солнцевская линия,2021,5025272,4810795,1138976460
Солнцево,Солнцевская линия,2022,5953674,5726907,2363398943
Солнцево,Солнцевская линия,2023,6499672,6263527,2581188986
Солнцево,Солнцевская линия,2024,5195201,5026879,2664615953
Спартак,Таганско-Краснопресненская линия,2021,1174604,1134670,1138976279
Спартак,Таганско-Краснопресненская линия,2022,1725049,1691803,2363398950
Спартак,Таганско-Краснопресненская линия,2023,2280943,2230586,2581188994
Спартак,Таганско-Краснопресненская линия,2024,2095674,2054147,2664615961
Спортивная,Сокольническая линия,2021,6109252,6782543,1138976052
Спортивная,Сокольническая линия,2022,6784838,7506432,2363398919
Спортивная,Сокольническая линия,2023,7465483,8154794,2581188964
Спортивная,Сокольническая линия,2024,5781873,6303246,2664615934
Сретенский бульвар,Люблинско-Дмитровская линия,2021,2900943,3072727,1139049594
Сретенский бульвар,Люблинско-Дмитровская линия,2022,2821106,3012355,2363398807
Сретенский бульвар,Люблинско-Дмитровская линия,2023,2771350,2954035,2581188853
Сретенский бульвар,Люблинско-Дмитровская линия,2024,2038202,2191950,2664615845
Стахановская,Некрасовская линия,2021,1872964,1708052,1138976419
Стахановская,Некрасовская линия,2022,2303014,2072929,2363398867
Стахановская,Некрасовская линия,2023,2708738,2752569,2581188912
Стахановская,Некрасовская линия,2024,2162902,2234297,2664615890
Стрешнево,Московское центральное кольцо,2021,5007161,5216297,1138976527
Стрешнево,Московское центральное кольцо,2022,5399470,5578245,2363398862
Стрешнево,Московское центральное кольцо,2023,5697759,5861409,2581189608
Стрешнево,Московское центральное кольцо,2024,4589538,4687520,2664615886
Строгино,Арбатско-Покровская линия,2021,8798354,8672522,1138975999
Строгино,Арбатско-Покровская линия,2022,10056571,9934381,2363398664
Строгино,Арбатско-Покровская линия,2023,10088312,9881484,2581188698
Строгино,Арбатско-Покровская линия,2024,7476453,7288675,2664615733
Студенческая,Филёвская линия,2021,1948398,2000047,1138976263
Студенческая,Филёвская линия,2022,2146996,2210382,2363398980
Студенческая,Филёвская линия,2023,2176558,2204011,2581189024
Студенческая,Филёвская линия,2024,1538652,1541095,2664615988
Сухаревская,Калужско-Рижская линия,2021,6275397,6576120,1138976228
Сухаревская,Калужско-Рижская линия,2022,6740034,7132660,2363398764
Сухаревская,Калужско-Рижская линия,2023,6990666,7377960,2581188811
Сухаревская,Калужско-Рижская линия,2024,5185749,5466191,2664615815
Сходненская,Таганско-Краснопресненская линия,2021,15621300,15418067,1138976163
Сходненская,Таганско-Краснопресненская линия,2022,16490215,16207876,2363398948
Сходненская,Таганско-Краснопресненская линия,2023,16788800,16442036,2581188991
Сходненская,Таганско-Краснопресненская линия,2024,12410653,12182320,2664615958
Таганская,Кольцевая линия,2021,8204662,8487807,1139050946
Таганская,Кольцевая линия,2022,8850316,9192078,2363424989
Таганская,Кольцевая линия,2023,8879033,9204126,2581190278
Таганская,Кольцевая линия,2024,6601222,6874613,2664620085
Таганская,Таганско-Краснопресненская линия,2021,4349475,4480348,1139049568
Таганская,Таганско-Краснопресненская линия,2022,4708273,4890531,2363398962
Таганская,Таганско-Краснопресненская линия,2023,5001514,5165538,2581189005
Таганская,Таганско-Краснопресненская линия,2024,3560157,3683196,2664615972
Тверская,Замоскворецкая линия,2021,0,0,1508957899
Тверская,Замоскворецкая линия,2022,0,0,2363398730
Тверская,Замоскворецкая линия,2023,0,0,2581188775
Тверская,Замоскворецкая линия,2024,0,0,2664615787
Театральная,Замоскворецкая линия,2021,0,0,1508957901
Театральная,Замоскворецкая линия,2022,0,0,2363398731
Театральная,Замоскворецкая линия,2023,0,0,2581188776
Театральная,Замоскворецкая линия,2024,0,0,2664615788
Текстильщики,Большая кольцевая линия,2023,4708194,5583174,2581190203
Текстильщики,Большая кольцевая линия,2024,4132373,5061485,2664619898
Текстильщики,Таганско-Краснопресненская линия,2021,17723603,17706125,1139049569
Текстильщики,Таганско-Краснопресненская линия,2022,19021869,18831723,2363398965
Текстильщики,Таганско-Краснопресненская линия,2023,18913897,19580975,2581189008
Текстильщики,Таганско-Краснопресненская линия,2024,12555407,13512221,2664615975
Телецентр,Московская монорельсовая транспортная система,2021,97747,90848,1138976472
Телецентр,Московская монорельсовая транспортная система,2022,109927,99868,2363398826
Телецентр,Московская монорельсовая транспортная система,2023,124982,110631,2581188874
Телецентр,Московская монорельсовая транспортная система,2024,113418,98380,2664615865
Терехово,Большая кольцевая линия,2021,33174,35602,1508957889
Терехово,Большая кольцевая линия,2022,1079309,1150838,2363398698
Терехово,Большая кольцевая линия,2023,1914780,2035392,2581188733
Терехово,Большая кольцевая линия,2024,1757212,1884119,2664615753
Технопарк,Замоскворецкая линия,2021,5390176,5441234,1138976030
Технопарк,Замоскворецкая линия,2022,5320713,5386694,2363398735
Технопарк,Замоскворецкая линия,2023,4612277,4658085,2581188780
Технопарк,Замоскворецкая линия,2024,5666053,5722615,2664615792
Тимирязевская,Московская монорельсовая транспортная система,2021,204886,178227,1139050929
Тимирязевская,Московская монорельсовая транспортная система,2022,218875,182132,2363425920
Тимирязевская,Московская монорельсовая транспортная система,2023,229071,190477,2581190315
Тимирязевская,Московская монорельсовая транспортная система,2024,215003,176594,2664648728
Тимирязевская,Серпуховско-Тимирязевская линия,2021,6750500,6639568,1139049574
Тимирязевская,Серпуховско-Тимирязевская линия,2022,6859979,6729168,2363398881
Тимирязевская,Серпуховско-Тимирязевская линия,2023,6917926,6822679,2581188925
Тимирязевская,Серпуховско-Тимирязевская линия,2024,6108541,6041352,2664615901
Третьяковская,Калининская линия,2021,8317629,8761049,1139050968
Третьяковская,Калининская линия,2022,9580667,10087759,2363422306
Третьяковская,Калининская линия,2023,10150404,10656618,2581190222
Третьяковская,Калининская линия,2024,7725818,8131217,2664619908
Третьяковская,Калужско-Рижская линия,2021,0,0,1266159627
Третьяковская,Калужско-Рижская линия,2022,0,0,2363424352
Третьяковская,Калужско-Рижская линия,2023,0,0,2581190248
Третьяковская,Калужско-Рижская линия,2024,0,0,2664619913
Тропарёво,Сокольническая линия,2021,5405866,5313644,1139049616
Тропарёво,Сокольническая линия,2022,6200337,6077031,2363398926
Тропарёво,Сокольническая линия,2023,6524165,6424634,2581188969
Тропарёво,Сокольническая линия,2024,4792074,4724664,2664615938
Трубная,Люблинско-Дмитровская линия,2021,4764734,4967803,1138976326
Трубная,Люблинско-Дмитровская линия,2022,5412938,5727142,2363398806
Трубная,Люблинско-Дмитровская линия,2023,5786200,6124962,2581188852
Трубная,Люблинско-Дмитровская линия,2024,4622686,4901755,2664615844
Тульская,Серпуховско-Тимирязевская линия,2021,11154325,11529730,1138976347
Тульская,Серпуховско-Тимирязевская линия,2022,10937844,11410877,2363398890
Тульская,Серпуховско-Тимирязевская линия,2023,10960973,11421479,2581188935
Тульская,Серпуховско-Тимирязевская линия,2024,8692198,8990810,2664615910
Тургеневская,Калужско-Рижская линия,2021,5581666,5854932,1138976096
Тургеневская,Калужско-Рижская линия,2022,6158159,6538942,2363398765
Тургеневская,Калужско-Рижская линия,2023,6816104,7223834,2581188812
Тургеневская,Калужско-Рижская линия,2024,5121136,5431999,2664615816
Тушинская,Таганско-Краснопресненская линия,2021,15244667,14717016,1138976165
Тушинская,Таганско-Краснопресненская линия,2022,15405967,14728525,2363398949
Тушинская,Таганско-Краснопресненская линия,2023,15435382,14762046,2581188993
Тушинская,Таганско-Краснопресненская линия,2024,11275985,10800630,2664615959
Тютчевская,Троицкая линия,2024,62792,61605,2703957816
Тёплый стан,Калужско-Рижская линия,2021,18513086,18219142,1139049592
Тёплый стан,Калужско-Рижская линия,2022,20593426,20152585,2363398779
Тёплый стан,Калужско-Рижская линия,2023,20982220,20529676,2581188825
Тёплый стан,Калужско-Рижская линия,2024,15625757,15360010,2664615828
Угрешская,Московское центральное кольцо,2021,1551371,1676187,1138976473
Угрешская,Московское центральное кольцо,2022,1779834,1898342,2363398846
Угрешская,Московское центральное кольцо,2023,1808796,1914349,2581189593
Угрешская,Московское центральное кольцо,2024,1337185,1413450,2664615876
Улица 1905 года,Таганско-Краснопресненская линия,2021,13719708,14276896,1138976287
Улица 1905 года,Таганско-Краснопресненская линия,2022,14591464,15262015,2363398956
Улица 1905 года,Таганско-Краснопресненская линия,2023,14707562,15320910,2581188999
Улица 1905 года,Таганско-Краснопресненская линия,2024,11049217,11513503,2664615967
Улица Академика Королёва,Московская монорельсовая транспортная система,2021,60861,56150,1139049624
Улица Академика Королёва,Московская монорельсовая транспортная система,2022,55128,50564,2363398825
Улица Академика Королёва,Московская монорельсовая транспортная система,2023,53082,47311,2581188873
Улица Академика Королёва,Московская монорельсовая транспортная система,2024,47865,42230,2664615864
Улица Горчакова,Бутовская линия Лёгкого метро,2021,2894388,2857134,1138976302
Улица Горчакова,Бутовская линия Лёгкого метро,2022,3191641,3121200,2363398716
Улица Горчакова,Бутовская линия Лёгкого метро,2023,3293199,3215024,2581188760
Улица Горчакова,Бутовская линия Лёгкого метро,2024,2429368,2378581,2664615774
Улица Милашенкова,Московская монорельсовая транспортная система,2021,68586,64369,1138976436
Улица Милашенкова,Московская монорельсовая транспортная система,2022,69955,63249,2363398828
Улица Милашенкова,Московская монорельсовая транспортная система,2023,70689,63854,2581188875
Улица Милашенкова,Московская монорельсовая транспортная система,2024,57073,50336,2664615866
Улица Сергея Эйзенштейна,Московская монорельсовая транспортная система,2021,74614,64468,1139049625
Улица Сергея Эйзенштейна,Московская монорельсовая транспортная система,2022,76084,63697,2363398823
Улица Сергея Эйзенштейна,Московская монорельсовая транспортная система,2023,77525,67121,2581188871
Улица Сергея Эйзенштейна,Московская монорельсовая транспортная система,2024,71470,62160,2664615862
Улица Скобелевская,Бутовская линия Лёгкого метро,2021,9313260,4446915,1138976298
Улица Скобелевская,Бутовская линия Лёгкого метро,2022,6248920,6014908,2363398714
Улица Скобелевская,Бутовская линия Лёгкого метро,2023,6603298,6314555,2581188758
Улица Скобелевская,Бутовская линия Лёгкого метро,2024,4943599,4730077,2664615771
Улица Старокачаловская,Бутовская линия Лёгкого метро,2021,1520737,1471075,1508957906
Улица Старокачаловская,Бутовская линия Лёгкого метро,2022,0,0,2363398712
Улица Старокачаловская,Бутовская линия Лёгкого метро,2023,0,0,2581188757
Улица Старокачаловская,Бутовская линия Лёгкого метро,2024,0,0,2664615770
Улица академика Янгеля,Серпуховско-Тимирязевская линия,2021,8341800,8110172,1139049575
Улица академика Янгеля,Серпуховско-Тимирязевская линия,2022,9087410,8861012,2363398900
Улица академика Янгеля,Серпуховско-Тимирязевская линия,2023,9476398,9232587,2581188944
Улица академика Янгеля,Серпуховско-Тимирязевская линия,2024,6951847,6797562,2664615918
Университет,Сокольническая линия,2021,9377185,9563310,1138976054
Университет,Сокольническая линия,2022,10376894,10532454,2363398921
Университет,Сокольническая линия,2023,11126229,11292360,2581188966
Университет,Сокольническая линия,2024,8087709,8196637,2664615936
Университет Дружбы Народов,Троицкая линия,2024,241900,256348,2703957814
Физтех,Люблинско-Дмитровская линия,2023,1150836,1103261,2625907501
Физтех,Люблинско-Дмитровская линия,2024,2928618,2787348,2664616050
Филатов луг,Сокольническая линия,2021,2389989,2287292,1138976060
Филатов луг,Сокольническая линия,2022,4481238,4318308,2363398929
Филатов луг,Сокольническая линия,2023,6322662,6121145,2581188972
Филатов луг,Сокольническая линия,2024,5404499,5264565,2664615941
Фили,Филёвская линия,2021,5692027,5720412,1138976141
Фили,Филёвская линия,2022,5865850,5882189,2363398978
Фили,Филёвская линия,2023,6027466,6012660,2581189020
Фили,Филёвская линия,2024,4781108,4771717,2664615986
Филёвский парк,Филёвская линия,2021,2839039,2792485,1139049621
Филёвский парк,Филёвская линия,2022,3010825,2940302,2363398976
Филёвский парк,Филёвская линия,2023,3089290,2990370,2581189018
Филёвский парк,Филёвская линия,2024,2415596,2326439,2664615984
Фонвизинская,Люблинско-Дмитровская линия,2021,4484401,4448916,1138976317
Фонвизинская,Люблинско-Дмитровская линия,2022,4846306,4811944,2363398801
Фонвизинская,Люблинско-Дмитровская линия,2023,4948575,4909316,2581188848
Фонвизинская,Люблинско-Дмитровская линия,2024,3505921,3486635,2664615841
Фрунзенская,Сокольническая линия,2021,8175049,8619006,1138976173
Фрунзенская,Сокольническая линия,2022,8718072,9204797,2363398918
Фрунзенская,Сокольническая линия,2023,9554072,10056847,2581188962
Фрунзенская,Сокольническая линия,2024,7481546,7886638,2664615933
Ховрино,Замоскворецкая линия,2021,13364108,12274075,1138976115
Ховрино,Замоскворецкая линия,2022,15097920,13793715,2363398718
Ховрино,Замоскворецкая линия,2023,16537044,14986022,2581188762
Ховрино,Замоскворецкая линия,2024,12347529,11046690,2664615776
Хорошёво,Московское центральное кольцо,2021,2743162,2913290,1139049636
Хорошёво,Московское центральное кольцо,2022,2453550,2609495,2363398859
Хорошёво,Московское центральное кольцо,2023,2326342,2473600,2581189605
Хорошёво,Московское центральное кольцо,2024,1791148,1911762,2664615883
Хорошёвская,Большая кольцевая линия,2021,2721496,2701513,1139049567
Хорошёвская,Большая кольцевая линия,2022,3116107,3188548,2363398689
Хорошёвская,Большая кольцевая линия,2023,4057587,4133169,2581188724
Хорошёвская,Большая кольцевая линия,2024,3586355,3690434,2664615749
ЦСКА,Большая кольцевая линия,2021,10357252,10400614,1138976435
ЦСКА,Большая кольцевая линия,2022,10380669,10675637,2363398688
ЦСКА,Большая кольцевая линия,2023,11568938,11886456,2581188722
ЦСКА,Большая кольцевая линия,2024,9200446,9434331,2664615747
Царицыно,Замоскворецкая линия,2021,18712365,18228961,1138976600
Царицыно,Замоскворецкая линия,2022,17948586,17181094,2363398740
Царицыно,Замоскворецкая линия,2023,12903454,12371819,2581188785
Царицыно,Замоскворецкая линия,2024,15303163,14583971,2664615797
Цветной бульвар,Серпуховско-Тимирязевская линия,2021,7051010,7310271,1138976254
Цветной бульвар,Серпуховско-Тимирязевская линия,2022,7640754,8036919,2363398885
Цветной бульвар,Серпуховско-Тимирязевская линия,2023,7583181,7968126,2581188930
Цветной бульвар,Серпуховско-Тимирязевская линия,2024,5752876,6039888,2664615905
Черкизовская,Сокольническая линия,2021,5015713,4797186,1138976154
Черкизовская,Сокольническая линия,2022,6284177,5570914,2363398904
Черкизовская,Сокольническая линия,2023,6585104,5732910,2581188949
Черкизовская,Сокольническая линия,2024,4950344,4300767,2664615922
Чертановская,Серпуховско-Тимирязевская линия,2021,10038682,9984185,1138976356
Чертановская,Серпуховско-Тимирязевская линия,2022,10978496,10932831,2363398897
Чертановская,Серпуховско-Тимирязевская линия,2023,11338162,11275726,2581188941
Чертановская,Серпуховско-Тимирязевская линия,2024,8177150,8160951,2664615915
Чеховская,Серпуховско-Тимирязевская линия,2021,6590632,6934381,1138976341
Чеховская,Серпуховско-Тимирязевская линия,2022,7169367,7630133,2363398886
Чеховская,Серпуховско-Тимирязевская линия,2023,6846953,7284019,2581188931
Чеховская,Серпуховско-Тимирязевская линия,2024,5508345,5873943,2664615906
Чистые пруды,Сокольническая линия,2021,6111852,6265262,1138976164
Чистые пруды,Сокольническая линия,2022,6562924,6843903,2363398912
Чистые пруды,Сокольническая линия,2023,6782891,7096594,2581188956
Чистые пруды,Сокольническая линия,2024,5403915,5646777,2664615927
Чкаловская,Люблинско-Дмитровская линия,2021,13734766,13357856,1138976394
Чкаловская,Люблинско-Дмитровская линия,2022,15470341,15036782,2363398808
Чкаловская,Люблинско-Дмитровская линия,2023,12003394,11778341,2581188855
Чкаловская,Люблинско-Дмитровская линия,2024,5254560,5418592,2664615846
Шаболовская,Калужско-Рижская линия,2021,7736857,8133889,1138976235
Шаболовская,Калужско-Рижская линия,2022,8660538,9152553,2363398770
Шаболовская,Калужско-Рижская линия,2023,8687782,9147985,2581188816
Шаболовская,Калужско-Рижская линия,2024,6318114,6658247,2664615819
Шелепиха,Большая кольцевая линия,2021,2507873,2584833,1139050931
Шелепиха,Большая кольцевая линия,2022,3568977,3693723,2363420407
Шелепиха,Большая кольцевая линия,2023,4262168,4338811,2581190062
Шелепиха,Большая кольцевая линия,2024,2216986,2227914,2664619836
Шелепиха,Московское центральное кольцо,2021,2545719,2772750,1139049637
Шелепиха,Московское центральное кольцо,2022,2603469,2844220,2363398858
Шелепиха,Московское центральное кольцо,2023,2814389,3027239,2581189706
Шелепиха,Московское центральное кольцо,2024,2644128,2806755,2664615882
Шипиловская,Люблинско-Дмитровская линия,2021,4448729,4454719,1138976357
Шипиловская,Люблинско-Дмитровская линия,2022,4898698,4883073,2363398821
Шипиловская,Люблинско-Дмитровская линия,2023,5371983,5308601,2581188869
Шипиловская,Люблинско-Дмитровская линия,2024,3480759,3472873,2664615859
Шоссе Энтузиастов,Калининская линия,2021,6736655,7292282,1139049570
Шоссе Энтузиастов,Калининская линия,2022,7055070,7603550,2363398749
Шоссе Энтузиастов,Калининская линия,2023,7240273,7735306,2581188795
Шоссе Энтузиастов,Калининская линия,2024,5338897,5675358,2664615805
Шоссе Энтузиастов,Московское центральное кольцо,2021,2525381,2841820,1139050958
Шоссе Энтузиастов,Московское центральное кольцо,2022,2576921,2904751,2363426705
Шоссе Энтузиастов,Московское центральное кольцо,2023,2631335,2947106,2581190468
Шоссе Энтузиастов,Московское центральное кольцо,2024,1896080,2118391,2664648753
Щукинская,Таганско-Краснопресненская линия,2021,12827896,12906413,1138976170
Щукинская,Таганско-Краснопресненская линия,2022,13933550,13929654,2363398951
Щукинская,Таганско-Краснопресненская линия,2023,14401008,14358314,2581188995
Щукинская,Таганско-Краснопресненская линия,2024,10771352,10735986,2664615962
Щёлковская,Арбатско-Покровская линия,2021,24367874,23283699,1139049547
Щёлковская,Арбатско-Покровская линия,2022,25495636,24115403,2363398685
Щёлковская,Арбатско-Покровская линия,2023,25384003,23927435,2581188719
Щёлковская,Арбатско-Покровская линия,2024,18572446,17530788,2664615746
Электрозаводская,Арбатско-Покровская линия,2021,10516472,11115689,1139049535
Электрозаводская,Арбатско-Покровская линия,2022,11671419,12460089,2363398678
Электрозаводская,Арбатско-Покровская линия,2023,10711106,11550050,2581188713
Электрозаводская,Арбатско-Покровская линия,2024,7789973,8404358,2664615741
Электрозаводская,Большая кольцевая линия,2023,6409625,7616636,2581190162
Электрозаводская,Большая кольцевая линия,2024,5436625,6251700,2664619880
Электрозаводская,Некрасовская линия,2021,2094742,2093869,1146103262
Электрозаводская,Некрасовская линия,2022,2347158,2344953,2363420816
Юго-Восточная,Некрасовская линия,2021,3281716,3116373,1138976423
Юго-Восточная,Некрасовская линия,2022,3928549,3767532,2363398869
Юго-Восточная,Некрасовская линия,2023,4522958,4546016,2581188914
Юго-Восточная,Некрасовская линия,2024,3516901,3566399,2664615892
Юго-Западная,Сокольническая линия,2021,14359788,14442041,1138976181
Юго-Западная,Сокольническая линия,2022,17382599,17570362,2363398924
Юго-Западная,Сокольническая линия,2023,18697603,18993799,2581188968
Юго-Западная,Сокольническая линия,2024,13235468,13427170,2664615937
Южная,Серпуховско-Тимирязевская линия,2021,7188417,7152364,1138976358
Южная,Серпуховско-Тимирязевская линия,2022,7727867,7686069,2363398898
Южная,Серпуховско-Тимирязевская линия,2023,8078382,7991984,2581188942
Южная,Серпуховско-Тимирязевская линия,2024,5868568,5827782,2664615916
Ясенево,Калужско-Рижская линия,2021,8919464,8815091,1138976126
Ясенево,Калужско-Рижская линия,2022,9994183,9827233,2363398780
Ясенево,Калужско-Рижская линия,2023,10487511,10319872,2581188826
Ясенево,Калужско-Рижская линия,2024,7821595,7721667,2664615829
Яхромская,Люблинско-Дмитровская линия,2023,1865434,1822836,2625907499
Яхромская,Люблинско-Дмитровская линия,2024,4548598,4445138,2664616048
улица Дмитриевского,Некрасовская линия,2021,2896953,2819403,1139049584
улица Дмитриевского,Некрасовская линия,2022,3142157,3055071,2363398871
улица Дмитриевского,Некрасовская линия,2023,3390407,3382136,2581188916
улица Дмитриевского,Некрасовская линия,2024,2507205,2510552,2664615894
